country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,157412,7311,140597,9504,1124,3919,182,794668,19783,40169237
Albania,Europe,200639,3104,190902,6633,23,69828,1080,1398152,486595,2873339
Algeria,Africa,211112,6089,144909,60114,15,4694,135,230861,5133,44972408
Andorra,Europe,18010,132,16162,1716,4,232567,1705,193595,2499935,77440
Angola,Africa,65208,1735,63263,210,3,1900,51,1190871,34707,34311823
Anguilla,North America,1414,3,1323,88,0,93069,197,51382,3381952,15193
Antigua And Barbuda,North America,4141,117,4018,6,11,41795,1181,17782,179475,99078
Argentina,South America,5335310,116617,5196096,22597,617,116533,2547,26305365,574558,45783654
Armenia,Asia,339977,7644,319476,12857,0,114428,2573,2389456,804233,2971098
Aruba,North America,16392,174,16030,188,13,152613,1620,177885,1656146,107409
Australia,Australia/Oceania,214879,2033,195686,17160,71,8290,78,48415662,1867947,25919178
Austria,Europe,1185982,12693,1050051,123238,643,130625,1398,111937966,12328971,9079263
Azerbaijan,Asia,591885,7905,558819,25161,0,57640,770,5565190,541955,10268724
Bahamas,North America,22809,685,21614,510,4,57227,1719,169359,424917,398570
Bahrain,Asia,277752,1394,276039,319,2,155589,781,7439950,4167649,1785167
Bangladesh,Asia,1577070,27989,1541886,7195,1382,9443,168,10946046,65539,167015002
Barbados,North America,25627,233,22630,2764,0,89022,809,439135,1525442,287874
Belarus,Europe,660204,5130,648305,6769,0,69900,543,10478624,1109446,9444914
Belgium,Europe,1809557,27120,1351555,430882,793,155178,2326,24998146,2143712,11661149
Belize,North America,30618,578,28947,1093,10,75072,1417,352789,864997,407850
Benin,Africa,24863,161,24546,156,5,1978,13,604310,48066,12572444
Bermuda,North America,5751,106,5615,30,2,92830,1711,650541,10500726,61952
Bhutan,Asia,2640,3,2623,14,0,3369,4,1247598,1592035,783650
Bolivia,South America,540869,19205,495349,26315,220,45456,1614,2593083,217931,11898628
Bosnia And Herzegovina,Europe,277228,12687,192218,72323,0,85252,3901,1407341,432780,3251863
Botswana,Africa,195302,2419,192452,431,1,80742,1000,1873214,774423,2418852
Brazil,South America,22118782,615225,21351505,152052,8318,103021,2865,63776166,297046,214701617
British Virgin Islands,North America,2809,38,0,0,7,92050,1245,82570,2705794,30516
Brunei Darussalam,Asia,15142,98,14647,397,2,34148,221,631475,1424111,443417
Bulgaria,Europe,699180,28656,566918,103606,702,101710,4169,6632158,964787,6874222
Burkina Faso,Africa,16000,286,15345,369,0,737,13,234250,10788,21714077
Burundi,Africa,20439,38,773,19628,0,1649,3,345742,27901,12391595
Cabo Verde,Africa,38405,350,37959,96,23,68028,620,211166,374046,564546
Cambodia,Asia,120207,2953,116569,685,0,7052,173,2723956,159793,17046796
Cameroon,Africa,107148,1804,102716,2628,152,3899,66,1751774,63745,27480870
Canada,North America,1798872,29737,1742524,26611,497,47077,778,49000664,1282362,38211249
Caribbean Netherlands,North America,2997,22,2687,288,0,112801,828,30126,1133878,26569
Cayman Islands,North America,7444,7,3570,3867,14,111410,105,207293,3102446,66816
Central African Republic,Africa,11742,101,6859,4782,2,2373,20,60228,12170,4948696
Chad,Africa,5701,181,4874,646,0,334,11,157235,9199,17092497
